;Parameter__Hoedanigheid__Eenheid;Unnamed: 1;2PFC6yC2a1sf__NVT__ug/l;Cl__NVT__ug/l;FRD-903__NVT__ug/l;L_PFBS__NVT__ug/l;L_PFHpS__NVT__ug/l;L_PFHxS__NVT__ug/l;NKj__N__ug/l;Ntot__N__ug/l;O2__NVT__%;O2__NVT__ug/l;PFBA__NVT__ug/l;PFC5asfzr__NVT__ug/l;PFDA__NVT__ug/l;PFHpA__NVT__ug/l;PFHxA__NVT__ug/l;PFNA__NVT__ug/l;PFOA__NVT__ug/l;PFOS__NVT__ug/l;PFPA__NVT__ug/l;PFUdA__NVT__ug/l;PO4__Pnf__ug/l;Ptot__P__ug/l;T__NVT__oC;pH__NVT__DIMSLS;sverttPFOS__NVT__ug/l
350;27;NL38_74387__NL38_140213;0.0;45500.0;0.0063;0.0039;0.0;0.0006;1400.0;4800.0;78.0;7100.0;0.0089;0.0;0.0;0.0022;0.003;0.0;0.0096;0.001;0.0028;0.0;202.0;320.0;19.8;7.3;0.0013
351;27;NL38_74391__NL38_342420;0.002;49300.0;0.0024;0.0021;0.0;0.0008;1300.0;3100.0;99.0;8700.0;0.011;0.0;0.0;0.0032;0.0052;0.0007;0.0073;0.0016;0.0043;0.0;40.3;160.0;21.5;7.7;0.0016
355;27;NL38_74411__NL38_340438;0.0018;45200.0;0.0003;0.0049;0.0;0.0028;1200.0;2900.0;72.0;6700.0;0.012;0.0011;0.0;0.0033;0.0081;0.0006;0.0082;0.0019;0.004;0.0;47.9;140.0;19.4;7.6;0.0029
356;27;NL40_C-368597__NL40_BOP_2712;0.0;499000.0;0.0;0.00576;0.000459;0.00869;2000.0;2600.0;82.0;7600.0;0.0102;0.0012;0.000378;0.00313;0.00623;0.00067;0.00629;0.0109;0.00738;0.0;52.7;310.0;19.1;7.7;0.0119
357;27;NL40_C-368609__NL40_DWOP0705;0.0;127000.0;0.0078;0.0058;0.0;0.0012;1100.0;1200.0;57.0;5300.0;0.02;0.0;0.0;0.0078;0.0083;0.0012;0.073;0.0025;0.0067;0.0;22.1;100.0;18.2;7.7;0.0039
358;27;NL40_C-368617__NL40_DWOP1005;0.0;59700.0;0.0097;0.0055;0.0;0.001;2000.0;2100.0;42.0;4000.0;0.031;0.0;0.0;0.016;0.019;0.0012;0.12;0.0045;0.0087;0.0;67.6;170.0;18.1;7.7;0.0039
361;27;NL40_C-368685__NL40_FO_03;0.0;447000.0;0.0;0.00509;0.0;0.000948;850.0;1900.0;116.0;10200.0;0.0122;0.000289;0.000239;0.00176;0.00326;0.000458;0.0043;0.00209;0.00384;0.0;10.0;64.0;21.6;7.9;0.00291
371;28;NL38_74511__NL38_140216;0.0011;86100.0;0.0051;0.0037;0.0;0.0009;1200.0;3200.0;74.0;6500.0;0.005;0.0;0.0006;0.0037;0.0071;0.0007;0.0088;0.0022;0.0074;0.0;131.0;320.0;21.2;7.6;0.0023
372;28;NL40_C-368714__NL40_DWOP1019;0.0;63600.0;0.00419;0.00724;0.000114;0.00118;1100.0;1800.0;86.0;7500.0;0.00873;0.000275;0.000567;0.00405;0.00645;0.000791;0.0515;0.00301;0.00727;0.000115;8.02;76.0;21.9;7.6;0.00236
373;28;NL40_C-368836__NL40_YOP_0132;0.0074;92800.0;0.0071;0.012;0.0;0.0024;1000.0;1400.0;42.0;3800.0;0.016;0.0;0.0014;0.0073;0.018;0.0014;0.052;0.0065;0.015;0.0;48.0;150.0;19.6;7.6;0.0078
381;29;NL40_C-369074__NL40_FOP_1710;0.0;31600.0;0.0;0.00458;0.0;0.000887;830.0;3100.0;62.0;5700.0;0.00641;0.000241;0.000417;0.0021;0.00314;0.000568;0.0037;0.00258;0.0039;0.0;83.0;140.0;19.5;7.6;0.0026
399;31;NL38_75722__NL38_140213;0.0;45400.0;0.0067;0.0023;0.0;0.0006;880.0;3800.0;81.0;7700.0;0.0066;0.0;0.0;0.0017;0.0033;0.0;0.0074;0.001;0.0026;0.0;69.6;260.0;17.7;7.5;0.0017
400;31;NL38_75753__NL38_342420;0.0015;57000.0;0.0025;0.0035;0.0;0.001;1200.0;3000.0;63.0;5800.0;0.011;0.0;0.0005;0.0027;0.0077;0.0008;0.01;0.0018;0.0045;0.0;77.3;200.0;19.5;7.5;0.0021
401;31;NL40_C-369180__NL40_YOP_1406;0.0;102000.0;0.0;0.00849;0.000531;0.00813;1200.0;1200.0;96.0;9000.0;0.0157;0.00202;0.00141;0.0114;0.0243;0.00126;0.0144;0.0068;0.0203;0.000161;17.0;78.0;18.5;8.2;0.00898
402;31;NL40_C-369233__NL40_BOP_2712;0.0;525000.0;0.0;0.00614;0.0005;0.00885;2100.0;2800.0;54.0;5100.0;0.0105;0.00116;0.000464;0.00371;0.00688;0.000808;0.0069;0.01;0.00779;0.0;120.0;390.0;17.9;7.4;0.0103
